x;sexo;lx;qx
0;Masculino;100000;0,014349
1;Masculino;98565,1;0,000965
2;Masculino;98469,98468;0,000631
3;Masculino;98407,85012;0,000484
4;Masculino;98360,22072;0,000399
5;Masculino;98320,97499;0,000344
6;Masculino;98287,15258;0,000305
7;Masculino;98257,17499;0,00028
8;Masculino;98229,66298;0,000264
9;Masculino;98203,73035;0,000258
10;Masculino;98178,39379;0,000264
11;Masculino;98152,4747;0,000286
12;Masculino;98124,40309;0,000332
13;Masculino;98091,82579;0,000414
14;Masculino;98051,21577;0,000553
15;Masculino;97996,99345;0,001072
16;Masculino;97891,94067;0,00137
17;Masculino;97757,82871;0,001642
18;Masculino;97597,31036;0,001864
19;Masculino;97415,38897;0,002045
20;Masculino;97216,1745;0,002226
21;Masculino;96999,7713;0,002401
22;Masculino;96766,87484;0,002516
23;Masculino;96523,40939;0,002555
24;Masculino;96276,79208;0,002538
25;Masculino;96032,44158;0,002494
26;Masculino;95792,93667;0,002457
27;Masculino;95557,57342;0,002438
28;Masculino;95324,60406;0,002452
29;Masculino;95090,86813;0,002494
30;Masculino;94853,71151;0,002542
31;Masculino;94612,59337;0,002586
32;Masculino;94367,9252;0,002638
33;Masculino;94118,98262;0,002698
34;Masculino;93865,0496;0,002768
35;Masculino;93605,23115;0,002852
36;Masculino;93338,26903;0,002951
37;Masculino;93062,82779;0,003067
38;Masculino;92777,4041;0,003201
39;Masculino;92480,42363;0,003355
40;Masculino;92170,15181;0,003529
41;Masculino;91844,88334;0,003725
42;Masculino;91502,76115;0,003951
43;Masculino;91141,23374;0,004208
44;Masculino;90757,71143;0,004497
45;Masculino;90349,574;0,004814
46;Masculino;89914,63115;0,005159
47;Masculino;89450,76157;0,005538
48;Masculino;88955,38326;0,005954
49;Masculino;88425,7429;0,006407
50;Masculino;87859,19917;0,006894
51;Masculino;87253,49785;0,007416
52;Masculino;86606,42591;0,007972
53;Masculino;85915,99948;0,008565
54;Masculino;85180,12895;0,009196
55;Masculino;84396,81248;0,009879
56;Masculino;83563,05637;0,010609
57;Masculino;82676,53591;0,011368
58;Masculino;81736,66904;0,012153
59;Masculino;80743,32331;0,012978
60;Masculino;79695,43646;0,013862
61;Masculino;78590,69832;0,014834
62;Masculino;77424,8839;0,015917
63;Masculino;76192,51202;0,017134
64;Masculino;74887,02952;0,018489
65;Masculino;73502,44323;0,019945
66;Masculino;72036,437;0,021524
67;Masculino;70485,92473;0,023302
68;Masculino;68843,46171;0,025321
69;Masculino;67100,27642;0,027572
70;Masculino;65250,1876;0,030002
71;Masculino;63292,55147;0,032606
72;Masculino;61228,83454;0,035455
73;Masculino;59057,96621;0,03858
74;Masculino;56779,50987;0,041991
75;Masculino;54395,28147;0,045672
76;Masculino;51910,94018;0,049632
77;Masculino;49334,49639;0,053923
78;Masculino;46674,23234;0,05858
79;Masculino;43940,05581;0,063634
80;Masculino;41143,9743;0,067944073
81;Masculino;38348,48509;0,072524432
82;Masculino;35567,28298;0,077412785
83;Masculino;32813,92055;0,082653446
84;Masculino;30101,73695;0,088298884
85;Masculino;27443,78718;0,094411717
86;Masculino;24852,77211;0,101067305
87;Masculino;22340,96942;0,108357168
88;Masculino;19920,16525;0,116393542
89;Masculino;17601,58665;0,125315533
90;Masculino;15395,83443;0,135297547
91;Masculino;13312,8158;0,146561025
92;Masculino;11361,67587;0,159391047
93;Masculino;9550,726456;0,174160237
94;Masculino;7887,369671;0,191363865
95;Masculino;6378,012128;0,211672365
96;Masculino;5027,963219;0,23601148
97;Masculino;3841,306178;0,265686611
98;Masculino;2820,722557;0,302577597
99;Masculino;1967,235104;0,349440576
100;Masculino;1279,803335;0,410344514
101;Masculino;754,6430579;0,491135388
102;Masculino;384,0111471;0,599083616
103;Masculino;153,9563606;0,737813451
104;Masculino;40,36528694;0,886978448
105;Masculino;4,562147382;0,981268569
106;Masculino;0,085455547;0,999588667
107;Masculino;3,52E-05;0,999999827
108;Masculino;6,08E-12;1
109;Masculino;1,82E-25;1
110;Masculino;1,63E-52;1
111;Masculino;1,30E-106;1
0;Feminino;100000;0,012183
1;Feminino;98781,7;0,000792
2;Feminino;98703,46489;0,000496
3;Feminino;98654,50798;0,000371
4;Feminino;98617,90715;0,0003
5;Feminino;98588,32178;0,000254
6;Feminino;98563,28035;0,000223
7;Feminino;98541,30074;0,000202
8;Feminino;98521,39539;0,000188
9;Feminino;98502,87337;0,000182
10;Feminino;98484,94585;0,000183
11;Feminino;98466,9231;0,000195
12;Feminino;98447,72205;0,00023
13;Feminino;98425,07908;0,000274
14;Feminino;98398,1106;0,000318
15;Feminino;98366,82001;0,000362
16;Feminino;98331,21122;0,000413
17;Feminino;98290,60043;0,000454
18;Feminino;98245,97649;0,000479
19;Feminino;98198,91667;0,000491
20;Feminino;98150,701;0,000503
21;Feminino;98101,3312;0,000518
22;Feminino;98050,51471;0,000536
23;Feminino;97997,95963;0,000558
24;Feminino;97943,27677;0,000584
25;Feminino;97886,0779;0,000611
26;Feminino;97826,26951;0,00064
27;Feminino;97763,66069;0,000674
28;Feminino;97697,76799;0,000714
29;Feminino;97628,01178;0,000759
30;Feminino;97553,91212;0,00081
31;Feminino;97474,89345;0,000865
32;Feminino;97390,57767;0,00092
33;Feminino;97300,97834;0,000974
34;Feminino;97206,20718;0,001029
35;Feminino;97106,182;0,001091
36;Feminino;97000,23915;0,001164
37;Feminino;96887,33087;0,001247
38;Feminino;96766,51237;0,001343
39;Feminino;96636,55494;0,001452
40;Feminino;96496,23867;0,001571
41;Feminino;96344,64308;0,001703
42;Feminino;96180,56815;0,001856
43;Feminino;96002,05701;0,002032
44;Feminino;95806,98083;0,002229
45;Feminino;95593,42707;0,002446
46;Feminino;95359,60555;0,002674
47;Feminino;95104,61397;0,00291
48;Feminino;94827,85954;0,00315
49;Feminino;94529,15178;0,003398
50;Feminino;94207,94172;0,003667
51;Feminino;93862,4812;0,003959
52;Feminino;93490,87964;0,00427
53;Feminino;93091,67358;0,004601
54;Feminino;92663,35879;0,004956
55;Feminino;92204,11919;0,005347
56;Feminino;91711,10376;0,005774
57;Feminino;91181,56385;0,006234
58;Feminino;90613,13798;0,006729
59;Feminino;90003,40217;0,007268
60;Feminino;89349,25745;0,00786
61;Feminino;88646,97228;0,008518
62;Feminino;87891,87737;0,009256
63;Feminino;87078,35016;0,010087
64;Feminino;86199,99084;0,011015
65;Feminino;85250,49794;0,012027
66;Feminino;84225,1902;0,013139
67;Feminino;83118,55543;0,014386
68;Feminino;81922,81189;0,015789
69;Feminino;80629,33261;0,017349
70;Feminino;79230,49432;0,019036
71;Feminino;77722,26263;0,020866
72;Feminino;76100,5099;0,0229
73;Feminino;74357,80822;0,02517
74;Feminino;72486,22219;0,027679
75;Feminino;70479,87604;0,030375
76;Feminino;68339,04981;0,03328
77;Feminino;66064,72623;0,036494
78;Feminino;63653,76011;0,040076
79;Feminino;61102,77202;0,044031
80;Feminino;58412,35587;0,04821038
81;Feminino;55596,27399;0,052562269
82;Feminino;52674,00769;0,057112631
83;Feminino;49665,65654;0,061891099
84;Feminino;46591,79447;0,066931778
85;Feminino;43473,32282;0,072274247
86;Feminino;40331,32116;0,077964826
87;Feminino;37186,89672;0,084058192
88;Feminino;34061,03342;0,090619456
89;Feminino;30974,44108;0,097726877
90;Feminino;27947,40569;0,10547543
91;Feminino;24999,64105;0,113981581
92;Feminino;22150,14245;0,123389739
